id,Disctrict,AC,Block,Panchayat,,"""Village Name""",Habitation Name,Source Type,Source Type Category Location,Location,Type,Scheme Name
45,Madhubani,Harlakhi,HARLAKHI,BISUAL,27,Village Name,BISHUL,Shallow tubewell,Ground Water,Chamar Tol,HandPump,SUHTAIPMABLE NEW IN PLACE OF OLD HARLAKHI(0005819891)
46,Madhubani,Harlakhi,HARLAKHI,BISUAL,28,Village Name,BISHUL,Shallow tubewell,Ground Water,Mushari Me Mangpatti,HandPump,SUHTAIPNABLE NEW IN PLACE OF OLD T/W Harlakhi(0006372209)
47,Madhubani,Harlakhi,HARLAKHI,BISUAL,29,Village Name,KADWAHI,Shallow tubewell,Ground Water,B,HandPump,NC/PC HARLAKHI(0006534908)
48,Madhubani,Harlakhi,HARLAKHI,BISUAL,30,Village Name,KADWAHI,Shallow tubewell,Ground Water,A,HandPump,NC/PC HARLAKHI(0006534908)
49,Madhubani,Harlakhi,HARLAKHI,BISUAL,31,Village Name,KADWAHI,Shallow tubewell,Ground Water,N.P.S.KORIANI BISHAUL,HandPump,SCHOOL T/W- HARLAKHI- 2(0006206012)
50,Madhubani,Harlakhi,HARLAKHI,BISUAL,32,Village Name,KADWAHI,Deep tubewell,Ground Water,N.P.S.KORIANI BISHAUL,HandPump,Spot Source(0002717460)
51,Madhubani,Harlakhi,HARLAKHI,BISUAL,33,Village Name,KADWAHI,Deep tubewell,Ground Water,Non Mandatory,HandPump,Spot Sourse(0001968721)
52,Madhubani,Harlakhi,HARLAKHI,BISUAL,34,Village Name,RAGHUNATH PUR,Shallow tubewell,Ground Water,B,HandPump,NC/PC HARLAKHI(0006534908)
53,Madhubani,Harlakhi,HARLAKHI,BISUAL,35,Village Name,RAGHUNATH PUR,Shallow tubewell,Ground Water,A,HandPump,NC/PC HARLAKHI(0006534908)
54,Madhubani,Harlakhi,HARLAKHI,BISUAL,36,Village Name,RAGHUNATH PUR,Shallow tubewell,Ground Water,A,HandPump,NC/PC HARLAKHI(0006538710)
55,Madhubani,Harlakhi,HARLAKHI,BISUAL,37,Village Name,RAGHUNATH PUR,Deep tubewell,Ground Water,Non Mandatory,HandPump,Spot Sourse(0001968721)
56,Madhubani,Harlakhi,HARLAKHI,BISUAL,38,Village Name,RAM PUR,Shallow tubewell,Ground Water,B,HandPump,NC/PC HARLAKHI(0006534908)
57,Madhubani,Harlakhi,HARLAKHI,BISUAL,39,Village Name,RAM PUR,Shallow tubewell,Ground Water,A,HandPump,NC/PC HARLAKHI(0006534908)
58,Madhubani,Harlakhi,HARLAKHI,BISUAL,40,Village Name,RAM PUR,Shallow tubewell,Ground Water,B,HandPump,NC/PC HARLAKHI(0006538710)
59,Madhubani,Harlakhi,HARLAKHI,BISUAL,41,Village Name,RAM PUR,Shallow tubewell,Ground Water,A,HandPump,NC/PC HARLAKHI(0006538710)
60,Madhubani,Harlakhi,HARLAKHI,BISUAL,42,Village Name,RAM PUR,Deep tubewell,Ground Water,Non Mandatory,HandPump,Spot Sourse(0001968721)
61,Madhubani,Harlakhi,HARLAKHI,BISUAL,43,Village Name,RANIPATTI,Shallow tubewell,Ground Water,Ram Umesh Thakur S/O Kalikant Thakur Ghar Ke Pas,HandPump,MLA QOUTA- HARLAKHI- 1(0006387490)
62,Madhubani,Harlakhi,HARLAKHI,BISUAL,44,Village Name,RANIPATTI,Shallow tubewell,Ground Water,Bhogi Sahni S/O Ramsundar Sahni Ghar Ke Pas,HandPump,MLA QOUTA- HARLAKHI- 1(0006387490)
63,Madhubani,Harlakhi,HARLAKHI,BISUAL,45,Village Name,RANIPATTI,Shallow tubewell,Ground Water,Shyam Sundar Vishw karma S/O Yogendar Vishw karma Ward No-7,HandPump,MLA QUOTA- HARLAKHI- 1(0005687029)
64,Madhubani,Harlakhi,HARLAKHI,BISUAL,46,Village Name,RANIPATTI,Shallow tubewell,Ground Water,Surendra Kumar Suman S/O Rambrijh Mahto Ward No-8,HandPump,MLA QUOTA- HARLAKHI-1(0005687029)
65,Madhubani,Harlakhi,HARLAKHI,BISUAL,47,Village Name,RANIPATTI,Deep tubewell,Ground Water,Non Mandatory,HandPump,Spot Source(0002675016)
66,Madhubani,Harlakhi,HARLAKHI,BISUAL,48,Village Name,SOHPUR,Shallow tubewell,Ground Water,Road Side Me,HandPump,NC/PC HARLAKHI(0005699573)
67,Madhubani,Harlakhi,HARLAKHI,BISUAL,49,Village Name,SOHPUR,Deep tubewell,Ground Water,Non Mandatory,HandPump,Spot Sourse(0001968721)
68,Madhubani,Harlakhi,HARLAKHI,BISUAL,50,Village Name,RAM PUR,Shallow tubewell,Ground Water,Aw c-30,HandPump,ANGANWARDI T/W - HARLAKHI(0006356354)
69,Madhubani,Harlakhi,HARLAKHI,BISUAL,51,Village Name,RAM PUR,Deep tubewell,Ground Water,Road Side Me,HandPump,Hand Pump Scheme(0004690566)
70,Madhubani,Harlakhi,HARLAKHI,BISUAL,52,Village Name,RAM PUR,Shallow tubewell,Ground Water,B,HandPump,NC/PC HARLAKHI(0006534908)
71,Madhubani,Harlakhi,HARLAKHI,BISUAL,53,Village Name,RAM PUR,Shallow tubewell,Ground Water,A,HandPump,NC/PC HARLAKHI(0006534908)
72,Madhubani,Harlakhi,HARLAKHI,BISUAL,54,Village Name,RAM PUR,Shallow tubewell,Ground Water,P.S.RAMPUR,HandPump,SCHOOL T/W- HARLAKHI(0006560317)
73,Madhubani,Harlakhi,HARLAKHI,BISUAL,55,Village Name,RAM PUR,Shallow tubewell,Ground Water,P.S.RAMPUR,HandPump,SCHOOL T/W- HARLAKHI- 2(0006206012)
74,Madhubani,Harlakhi,HARLAKHI,BISUAL,56,Village Name,RAM PUR,Shallow tubewell,Ground Water,N.P.S Rampur Dttak Tol,HandPump,SCHOOL T/W- HARLAKHI- 2(0006206012)
75,Madhubani,Harlakhi,HARLAKHI,BISUAL,57,Village Name,RAM PUR,Deep tubewell,Ground Water,Non Mandatory,HandPump,Spot Source(0002674998)
76,Madhubani,Harlakhi,HARLAKHI,BISUAL,58,Village Name,RAM PUR,Deep tubewell,Ground Water,Non Mandatory,HandPump,Spot Source(0002677137)
77,Madhubani,Harlakhi,HARLAKHI,BISUAL,59,Village Name,RAM PUR,Deep tubewell,Ground Water,P.S.RAGHUNATHPUR,HandPump,Spot Source(0002717461)
78,Madhubani,Harlakhi,HARLAKHI,BISUAL,60,Village Name,RAM PUR,Deep tubewell,Ground Water,P.S.RAMPUR,HandPump,Spot Source(0002717463)
79,Madhubani,Harlakhi,HARLAKHI,BISUAL,61,Village Name,RAM PUR,Shallow tubewell,Ground Water,Mushari Me,HandPump,SUHTAIPNABLE NEW IN PLACE OF OLD T/W Harlakhi(0006372209)
80,Madhubani,Harlakhi,HARLAKHI,BISUAL,62,Village Name,SOHPUR,Shallow tubewell,Ground Water,Aw c-27,HandPump,ANGANWARDI T/W - HARLAKHI(0006356354)
81,Madhubani,Harlakhi,HARLAKHI,BISUAL,63,Village Name,SOHPUR,Deep tubewell,Ground Water,Road Side Me,HandPump,Babubarhi Spot Source Scheme(0004739339)
82,Madhubani,Harlakhi,HARLAKHI,BISUAL,64,Village Name,SOHPUR,Shallow tubewell,Ground Water,Arun Kumar Mahto S/O Sataynarayan Mahto Ghar Ke Pas,HandPump,MLA QOUTA- HARLAKHI- 1(0006387490)
83,Madhubani,Harlakhi,HARLAKHI,BISUAL,65,Village Name,SOHPUR,Shallow tubewell,Ground Water,P.S.RANIPATTI,HandPump,SCHOOL T/W- HARLAKHI- 2(0006206012)
84,Madhubani,Harlakhi,HARLAKHI,BISUAL,66,Village Name,SOHPUR,Shallow tubewell,Ground Water,U.M.S Sohpur,HandPump,SCHOOL T/W- HARLAKHI- 2(0006206012)
85,Madhubani,Harlakhi,HARLAKHI,BISUAL,67,Village Name,SOHPUR,Deep tubewell,Ground Water,Non Mandatory,HandPump,Spot Source(0002675009)
86,Madhubani,Harlakhi,HARLAKHI,BISUAL,68,Village Name,SOHPUR,Deep tubewell,Ground Water,Non Mandatory,HandPump,Spot Source(0002677139)
87,Madhubani,Harlakhi,HARLAKHI,BISUAL,69,Village Name,SOHPUR,Deep tubewell,Ground Water,P.S.RANIPATTI,HandPump,Spot Source(0002717464)
88,Madhubani,Harlakhi,HARLAKHI,BISUAL,70,Village Name,SOHPUR,Deep tubewell,Ground Water,U.P.S.SOHPUR,HandPump,Spot Source(0002717483)
89,Madhubani,Harlakhi,HARLAKHI,BISUAL,71,Village Name,SOHPUR,Deep tubewell,Ground Water,Non Mandatory,HandPump,Spot Source(0004044544)
90,Madhubani,Harlakhi,HARLAKHI,BISUAL,72,Village Name,SOHPUR,Shallow tubewell,Ground Water,Mushari,HandPump,SUHTAIPMABLE NEW IN PLACE OF OLD HARLAKHI(0005819891)
91,Madhubani,Harlakhi,BENIPATTI,TYOTH,1,Village Name,BIRAULI,Shallow tubewell,Ground Water,Ram Saw arth Yadav S/I Uchit Yadav Ghar Ke Pas,HandPump,MLA QOUTA- BENIPATTI- 2(0006281277)
92,Madhubani,Harlakhi,BENIPATTI,TYOTH,2,Village Name,BIRAULI,Shallow tubewell,Ground Water,Nathuni Pasw an Kr Ghar Ke Niket,HandPump,MLA QUOTA- BENIPATTI- 2(0005511802)
93,Madhubani,Harlakhi,BENIPATTI,TYOTH,3,Village Name,BIRAULI,Shallow tubewell,Ground Water,Sadal Kinare,HandPump,NC/PC BASOPATTI- 2(0005695486)
94,Madhubani,Harlakhi,BENIPATTI,TYOTH,4,Village Name,BIRAULI,Shallow tubewell,Ground Water,Mushari Me,HandPump,NC/PC BASOPATTI- 2(0005695486)
95,Madhubani,Harlakhi,BENIPATTI,TYOTH,5,Village Name,BIRAULI,Shallow tubewell,Ground Water,School Ke Pas,HandPump,NC/PC BASOPATTI- 2(0005695486)
96,Madhubani,Harlakhi,BENIPATTI,TYOTH,6,Village Name,BIRAULI,Shallow tubewell,Ground Water,Road Side Me,HandPump,NC/PC BENIPATTI- 2(0005696138)
97,Madhubani,Harlakhi,BENIPATTI,TYOTH,7,Village Name,BIRAULI,Shallow tubewell,Ground Water,Chamar Tola Me,HandPump,NC/PC BENIPATTI- 2(0005696138)
98,Madhubani,Harlakhi,BENIPATTI,TYOTH,8,Village Name,BIRAULI,Shallow tubewell,Ground Water,Sarvjanik Asthan Me,HandPump,NC/PC BENIPATTI- 2(0005696138)
99,Madhubani,Harlakhi,BENIPATTI,TYOTH,9,Village Name,BIRAULI,Shallow tubewell,Ground Water,M.S. BIRAULI,HandPump,SCHOOL T/W- BENIPATTI- 1(0006252770)
100,Madhubani,Harlakhi,BENIPATTI,TYOTH,10,Village Name,BIRAULI,Deep tubewell,Ground Water,M.S. BIRAULI,HandPump,SPOT SOURCES(0002721527)
101,Madhubani,Harlakhi,BENIPATTI,TYOTH,11,Village Name,BIRAULI,Deep tubewell,Ground Water,Non Mandatory,HandPump,Spot Sourse(0001979235)
102,Madhubani,Harlakhi,BENIPATTI,TYOTH,12,Village Name,BIRAULI,Shallow tubewell,Ground Water,Salhesh Asthan,HandPump,SUHTAIPNABLE NEW IN PLACE OF OLD T/W BENIPATTI- 3(0006134747)
103,Madhubani,Harlakhi,BENIPATTI,TYOTH,13,Village Name,BIRAULI,Shallow tubewell,Ground Water,Ramsebak Pasw an,HandPump,SUHTAIPNABLE NEW IN PLACE OF OLD T/W BENIPATTI- 3(0006134747)
104,Madhubani,Harlakhi,BENIPATTI,TYOTH,14,Village Name,JANKINAGAR,Deep tubewell,Ground Water,Mushari Tola Me -2 Chapakal,HandPump,Spot Sourse(0001979235)
105,Madhubani,Harlakhi,BENIPATTI,TYOTH,15,Village Name,TISIAHI,Shallow tubewell,Ground Water,Bhadaiy Sah Ke Ghar Ke Niket,HandPump,MLA QUOTA- BENIPATTI- 2(0005511802)
106,Madhubani,Harlakhi,BENIPATTI,TYOTH,16,Village Name,TISIAHI,Deep tubewell,Ground Water,Non Mandatory,HandPump,Spot Sourse(0001979235)
107,Madhubani,Harlakhi,BENIPATTI,TYOTH,17,Village Name,TYOTH,Shallow tubewell,Ground Water,Aw c-267,HandPump,ANGANWARDI T/W -BENIPATTI(0006364245)
108,Madhubani,Harlakhi,BENIPATTI,TYOTH,18,Village Name,TYOTH,Shallow tubewell,Ground Water,Ganga Yadav S/O Bulan Yadav Ghar Ke Pas Chahuta,HandPump,MLA QOUTA- BENIPATTI- 2(0006281277)
109,Madhubani,Harlakhi,BENIPATTI,TYOTH,19,Village Name,TYOTH,Shallow tubewell,Ground Water,Nago Mahto S/O Bharat Mahto Ghar Ke Pas,HandPump,MLA QOUTA- BENIPATTI- 2(0006281277)
110,Madhubani,Harlakhi,BENIPATTI,TYOTH,20,Village Name,TYOTH,Shallow tubewell,Ground Water,Kaushal Sah S/O Jagdish Sah Ghar Ke Pas,HandPump,MLA QOUTA- BENIPATTI- 2(0006281277)
111,Madhubani,Harlakhi,BENIPATTI,TYOTH,21,Village Name,TYOTH,Shallow tubewell,Ground Water,Sarvjanik Asthal Par Bhandary Chw ak,HandPump,MLA QOUTA- BENIPATTI- 2(0006281277)
112,Madhubani,Harlakhi,BENIPATTI,TYOTH,22,Village Name,TYOTH,Shallow tubewell,Ground Water,Gurusharan Yadav Chouhata,HandPump,MLA QUOTA- BENIPATTI- 2(0005511802)
113,Madhubani,Harlakhi,BENIPATTI,TYOTH,23,Village Name,TYOTH,Shallow tubewell,Ground Water,Nand Bhouji Panchayat Ke Niket,HandPump,MLA QUOTA- BENIPATTI- 2(0005511802)
114,Madhubani,Harlakhi,BENIPATTI,TYOTH,24,Village Name,TYOTH,Shallow tubewell,Ground Water,Jay Parkash Ke Ghar Ke Niket,HandPump,MLA QUOTA- BENIPATTI- 2(0005511802)
115,Madhubani,Harlakhi,BENIPATTI,TYOTH,25,Village Name,TYOTH,Shallow tubewell,Ground Water,M.S. TISIYAHI HAT,HandPump,SCHOOL T/W- BENIPATTI- 1(0006252770)
116,Madhubani,Harlakhi,BENIPATTI,TYOTH,26,Village Name,TYOTH,Shallow tubewell,Ground Water,N.P.S. TISIYAHI MUSHARI,HandPump,SCHOOL T/W- BENIPATTI- 1(0006252770)
117,Madhubani,Harlakhi,BENIPATTI,TYOTH,27,Village Name,TYOTH,Shallow tubewell,Ground Water,N.P.S. BIRAULI PASWANTOL,HandPump,SCHOOL T/W- BENIPATTI- 1(0006252770)
118,Madhubani,Harlakhi,BENIPATTI,TYOTH,28,Village Name,TYOTH,Shallow tubewell,Ground Water,P.S. CHAHUTA,HandPump,SCHOOL T/W- BENIPATTI- 2(0006255139)
119,Madhubani,Harlakhi,BENIPATTI,TYOTH,29,Village Name,TYOTH,Shallow tubewell,Ground Water,P.S.TYONTHGSDH GIRL,HandPump,SCHOOL T/W- BENIPATTI- 3(0006255444)
120,Madhubani,Harlakhi,BENIPATTI,TYOTH,30,Village Name,TYOTH,Shallow tubewell,Ground Water,P.S Pauam,HandPump,SCHOOL T/W- BENIPATTI- 3(0006255444)
121,Madhubani,Harlakhi,BENIPATTI,TYOTH,31,Village Name,TYOTH,Deep tubewell,Ground Water,Non Mandatory,HandPump,Spot Source(0002682843)
122,Madhubani,Harlakhi,BENIPATTI,TYOTH,32,Village Name,TYOTH,Deep tubewell,Ground Water,M.S. TISIYAHI HAT,HandPump,SPOT SOURCES(0002721536)
123,Madhubani,Harlakhi,BENIPATTI,TYOTH,33,Village Name,TYOTH,Deep tubewell,Ground Water,P.S. CHAHUTA,HandPump,SPOT SOURCES(0002721537)
124,Madhubani,Harlakhi,BENIPATTI,TYOTH,34,Village Name,TYOTH,Deep tubewell,Ground Water,N.P.S. BIRAULI PASWANTOL,HandPump,SPOT SOURCES(0002721546)
125,Madhubani,Harlakhi,BENIPATTI,TYOTH,35,Village Name,TYOTH,Deep tubewell,Ground Water,N.P.S. SC TOLA BIRAULI,HandPump,SPOT SOURCES(0002721555)
126,Madhubani,Harlakhi,BENIPATTI,TYOTH,36,Village Name,TYOTH,Deep tubewell,Ground Water,N.P.S. TISIYAHI MUSHARI,HandPump,SPOT SOURCES(0002721559)
127,Madhubani,Harlakhi,BENIPATTI,TYOTH,37,Village Name,TYOTH,Deep tubewell,Ground Water,P.S.TYONTHGSDH GIRL,HandPump,SPOT SOURCES(0002721562)
128,Madhubani,Harlakhi,BENIPATTI,TYOTH,38,Village Name,TYOTH,Deep tubewell,Ground Water,Non Mandatory,HandPump,Spot Sourse(0001979235)
129,Madhubani,Harlakhi,MADHWAPUR,MADHWAPUR,1,Village Name,BRIT,Shallow tubewell,Ground Water,Musay Sahni S/O Manejar Sahni Ke Ghar Ke Pas,HandPump,MLA QOUTA- MADHWAPUR- 1(0006376823)
130,Madhubani,Harlakhi,MADHWAPUR,MADHWAPUR,2,Village Name,BRIT,Deep tubewell,Ground Water,Nc/Pc Scheme For Madhw apur Block,SPOT,Nc/Pc Scheme For Madhw apur Block(0004563478)
131,Madhubani,Harlakhi,MADHWAPUR,MADHWAPUR,3,Village Name,BRIT,Deep tubewell,Ground Water,,PWS,Pw ss(0004954523)
132,Madhubani,Harlakhi,MADHWAPUR,MADHWAPUR,4,Village Name,MADHWAPUR,Shallow tubewell,Ground Water,Kari Sah S/O Ram Avtar Sah Ke Ghar Ke Pas,HandPump,MLA QOUTA- MADHWAPUR- 1(0006376823)
133,Madhubani,Harlakhi,MADHWAPUR,MADHWAPUR,5,Village Name,MADHWAPUR,Shallow tubewell,Ground Water,Anil Chaudhary S/O Satay Naryan Chaudhary,HandPump,MLA QOUTA- MADHWAPUR- 1(0006376823)
134,Madhubani,Harlakhi,MADHWAPUR,MADHWAPUR,6,Village Name,MADHWAPUR,Shallow tubewell,Ground Water,Raj Kumar Pandit S/O Soman Pandit Ke Ghar Ke Pas,HandPump,MLA QOUTA- MADHWAPUR- 1(0006376823)
135,Madhubani,Harlakhi,MADHWAPUR,MADHWAPUR,7,Village Name,MADHWAPUR,Shallow tubewell,Ground Water,Rambabu Sah S/O Met Palat Sah,HandPump,MLA QUOTA- MADHWAPUR- 1(0005274413)
136,Madhubani,Harlakhi,MADHWAPUR,MADHWAPUR,8,Village Name,MADHWAPUR,Shallow tubewell,Ground Water,Samsul Kha S/O Jogat Kha,HandPump,MLA QUOTA- MADHWAPUR- 1(0005274413)
137,Madhubani,Harlakhi,MADHWAPUR,MADHWAPUR,9,Village Name,MADHWAPUR,Shallow tubewell,Ground Water,Alahuddin S/O Hakim Kha,HandPump,MLA QUOTA- MADHWAPUR- 1(0005274413)
138,Madhubani,Harlakhi,MADHWAPUR,MADHWAPUR,10,Village Name,MADHWAPUR,Shallow tubewell,Ground Water,Yogesw ar Yadav S/O Majhi Yadav,HandPump,MLA QUOTA- MADHWAPUR- 1(0005274413)
139,Madhubani,Harlakhi,MADHWAPUR,MADHWAPUR,11,Village Name,MADHWAPUR,Shallow tubewell,Ground Water,Dhramnath Purbe S/O Met Laxmi Purbe,HandPump,MLA QUOTA- MADHWAPUR- 1(0005274413)
