id,Disctrict,AC,Block,No,GP Name,Total Detail Entered (With & Without Toilet) BLS-2012,BPL (2012),"Identified(APL, 2012)","UnIdentified (APL, 2012)","Total (UnIdentified + Identified, APL, 2012)",Total (BPL+APL),Total HH Identified,of HH entered by name," of Households covered 2014-2015 (including unapproved)"""," of Households Covered after Survey 2012""",of HH reported by name
23,Pashchim Champaran,Chanpatiya,Majhaulia,SL.No.,PARSA ,3324,2192,816,272,1088,3280,3008,No.of HH entered by name [2013-14],No. of Households covered 2014-2015 (including unapproved),Total No. of Households Covered after Survey 2012,No.of HH reported by name [2015-16]
24,Pashchim Champaran,Chanpatiya,Majhaulia,SL.No.,RAJABHAR ,1182,526,238,168,406,932,764,No.of HH entered by name [2013-14],No. of Households covered 2014-2015 (including unapproved),Total No. of Households Covered after Survey 2012,No.of HH reported by name [2015-16]
25,Pashchim Champaran,Chanpatiya,Majhaulia,SL.No.,RAMNAGAR BANKAT ,2634,1110,754,252,1006,2116,1864,No.of HH entered by name [2013-14],No. of Households covered 2014-2015 (including unapproved),Total No. of Households Covered after Survey 2012,No.of HH reported by name [2015-16]
26,Pashchim Champaran,Chanpatiya,Majhaulia,SL.No.,RATANMALA ,4722,1684,1997,542,2539,4223,3681,No.of HH entered by name [2013-14],No. of Households covered 2014-2015 (including unapproved),Total No. of Households Covered after Survey 2012,No.of HH reported by name [2015-16]
27,Pashchim Champaran,Chanpatiya,Majhaulia,SL.No.,RULHI ,1632,687,343,135,478,1165,1030,No.of HH entered by name [2013-14],No. of Households covered 2014-2015 (including unapproved),Total No. of Households Covered after Survey 2012,No.of HH reported by name [2015-16]
28,Pashchim Champaran,Chanpatiya,Majhaulia,SL.No.,SARISWA ,3770,1882,1305,90,1395,3277,3187,No.of HH entered by name [2013-14],No. of Households covered 2014-2015 (including unapproved),Total No. of Households Covered after Survey 2012,No.of HH reported by name [2015-16]
29,Pashchim Champaran,Chanpatiya,Majhaulia,SL.No.,SENUARIA ,2365,933,948,103,1051,1984,1881,No.of HH entered by name [2013-14],No. of Households covered 2014-2015 (including unapproved),Total No. of Households Covered after Survey 2012,No.of HH reported by name [2015-16]
30,Pashchim Champaran,Chanpatiya,Chanpatiya,SL.No.,AURAIYA ,2739,854,825,323,1148,2002,1679,No.of HH entered by name [2013-14],No. of Households covered 2014-2015 (including unapproved),Total No. of Households Covered after Survey 2012,No.of HH reported by name [2015-16]
31,Pashchim Champaran,Chanpatiya,Chanpatiya,SL.No.,BAKULAHAR ,2237,754,859,176,1035,1789,1613,No.of HH entered by name [2013-14],No. of Households covered 2014-2015 (including unapproved),Total No. of Households Covered after Survey 2012,No.of HH reported by name [2015-16]
32,Pashchim Champaran,Chanpatiya,Chanpatiya,SL.No.,BANKAT PURAINA ,2689,1348,787,11,798,2146,2135,No.of HH entered by name [2013-14],No. of Households covered 2014-2015 (including unapproved),Total No. of Households Covered after Survey 2012,No.of HH reported by name [2015-16]
33,Pashchim Champaran,Chanpatiya,Chanpatiya,SL.No.,BETTIAH DIH ,2954,551,772,136,908,1459,1323,No.of HH entered by name [2013-14],No. of Households covered 2014-2015 (including unapproved),Total No. of Households Covered after Survey 2012,No.of HH reported by name [2015-16]
34,Pashchim Champaran,Chanpatiya,Chanpatiya,SL.No.,BHAISAHI POKHARIA ,3166,953,1037,105,1142,2095,1990,No.of HH entered by name [2013-14],No. of Households covered 2014-2015 (including unapproved),Total No. of Households Covered after Survey 2012,No.of HH reported by name [2015-16]
35,Pashchim Champaran,Chanpatiya,Chanpatiya,SL.No.,CHARGAHA ,2861,1267,712,61,773,2040,1979,No.of HH entered by name [2013-14],No. of Households covered 2014-2015 (including unapproved),Total No. of Households Covered after Survey 2012,No.of HH reported by name [2015-16]
36,Pashchim Champaran,Chanpatiya,Chanpatiya,SL.No.,CHUHARI ,2607,1272,745,70,815,2087,2017,No.of HH entered by name [2013-14],No. of Households covered 2014-2015 (including unapproved),Total No. of Households Covered after Survey 2012,No.of HH reported by name [2015-16]
37,Pashchim Champaran,Chanpatiya,Chanpatiya,SL.No.,DAKSHINI GHOGHA ,2666,1062,947,89,1036,2098,2009,No.of HH entered by name [2013-14],No. of Households covered 2014-2015 (including unapproved),Total No. of Households Covered after Survey 2012,No.of HH reported by name [2015-16]
38,Pashchim Champaran,Chanpatiya,Chanpatiya,SL.No.,GIDHA ,2477,893,868,110,978,1871,1761,No.of HH entered by name [2013-14],No. of Households covered 2014-2015 (including unapproved),Total No. of Households Covered after Survey 2012,No.of HH reported by name [2015-16]
39,Pashchim Champaran,Chanpatiya,Chanpatiya,SL.No.,GURWALIA ,3500,1125,1705,7,1712,2837,2830,No.of HH entered by name [2013-14],No. of Households covered 2014-2015 (including unapproved),Total No. of Households Covered after Survey 2012,No.of HH reported by name [2015-16]
40,Pashchim Champaran,Chanpatiya,Chanpatiya,SL.No.,JAITIA ,4118,1955,1280,13,1293,3248,3235,No.of HH entered by name [2013-14],No. of Households covered 2014-2015 (including unapproved),Total No. of Households Covered after Survey 2012,No.of HH reported by name [2015-16]
41,Pashchim Champaran,Chanpatiya,Chanpatiya,SL.No.,KHARG POKHARIA ,2919,1611,681,12,693,2304,2292,No.of HH entered by name [2013-14],No. of Households covered 2014-2015 (including unapproved),Total No. of Households Covered after Survey 2012,No.of HH reported by name [2015-16]
42,Pashchim Champaran,Chanpatiya,Chanpatiya,SL.No.,KURWA MATHIA ,3169,916,991,177,1168,2084,1907,No.of HH entered by name [2013-14],No. of Households covered 2014-2015 (including unapproved),Total No. of Households Covered after Survey 2012,No.of HH reported by name [2015-16]
43,Pashchim Champaran,Chanpatiya,Chanpatiya,SL.No.,LAKHAURA ,3103,1094,225,77,302,1396,1319,No.of HH entered by name [2013-14],No. of Households covered 2014-2015 (including unapproved),Total No. of Households Covered after Survey 2012,No.of HH reported by name [2015-16]
44,Pashchim Champaran,Chanpatiya,Chanpatiya,SL.No.,LALGARH ,2788,1202,788,72,860,2062,1990,No.of HH entered by name [2013-14],No. of Households covered 2014-2015 (including unapproved),Total No. of Households Covered after Survey 2012,No.of HH reported by name [2015-16]
45,Pashchim Champaran,Chanpatiya,Chanpatiya,SL.No.,LOHIARIYA ,2753,1307,798,105,903,2210,2105,No.of HH entered by name [2013-14],No. of Households covered 2014-2015 (including unapproved),Total No. of Households Covered after Survey 2012,No.of HH reported by name [2015-16]
46,Pashchim Champaran,Chanpatiya,Chanpatiya,SL.No.,MAHANA KULI ,2689,823,784,141,925,1748,1607,No.of HH entered by name [2013-14],No. of Households covered 2014-2015 (including unapproved),Total No. of Households Covered after Survey 2012,No.of HH reported by name [2015-16]
47,Pashchim Champaran,Chanpatiya,Chanpatiya,SL.No.,MUSHAHARI SENWARIA ,2650,1531,488,68,556,2087,2019,No.of HH entered by name [2013-14],No. of Households covered 2014-2015 (including unapproved),Total No. of Households Covered after Survey 2012,No.of HH reported by name [2015-16]
48,Pashchim Champaran,Chanpatiya,Chanpatiya,SL.No.,PASHCHMI TURHAPATTI ,1949,722,787,55,842,1564,1509,No.of HH entered by name [2013-14],No. of Households covered 2014-2015 (including unapproved),Total No. of Households Covered after Survey 2012,No.of HH reported by name [2015-16]
49,Pashchim Champaran,Chanpatiya,Chanpatiya,SL.No.,PURBI TURHA PATTI ,1630,1036,229,0,229,1265,1265,No.of HH entered by name [2013-14],No. of Households covered 2014-2015 (including unapproved),Total No. of Households Covered after Survey 2012,No.of HH reported by name [2015-16]
50,Pashchim Champaran,Chanpatiya,Chanpatiya,SL.No.,RANIPUR RAMPURWA ,3118,1211,930,245,1175,2386,2141,No.of HH entered by name [2013-14],No. of Households covered 2014-2015 (including unapproved),Total No. of Households Covered after Survey 2012,No.of HH reported by name [2015-16]
51,Pashchim Champaran,Chanpatiya,Chanpatiya,SL.No.,SIRISIYA ,2902,1464,830,16,846,2310,2294,No.of HH entered by name [2013-14],No. of Households covered 2014-2015 (including unapproved),Total No. of Households Covered after Survey 2012,No.of HH reported by name [2015-16]
52,Pashchim Champaran,Chanpatiya,Chanpatiya,SL.No.,TUNIA BISHUNPUR ,3868,2606,288,0,288,2894,2894,No.of HH entered by name [2013-14],No. of Households covered 2014-2015 (including unapproved),Total No. of Households Covered after Survey 2012,No.of HH reported by name [2015-16]
53,Pashchim Champaran,Chanpatiya,Chanpatiya,SL.No.,UTTARI GHOGHA ,2194,898,197,546,743,1641,1095,No.of HH entered by name [2013-14],No. of Households covered 2014-2015 (including unapproved),Total No. of Households Covered after Survey 2012,No.of HH reported by name [2015-16]
