Sno.,Village Name,Habitation Name,Source Type,,Source Type Category Location,Location,Type,Scheme Name
26,MAINA,MAINA MUSHAHRI,Shallow tubewell,Ground Water,NEAR ROAD,HandPump,NC/PC(0001957070),
27,MAINA,MAINA MUSHAHRI,Shallow tubewell,Ground Water,NEAR VILLAGE ROAD,HandPump,NC/PC(0001986237),
28,PARARIA,ARSI,Shallow tubewell,Ground Water,Sashi Kala MS Chainpur Code-101,HandPump,Aganw adi(0005369217),
29,PARARIA,ARSI,Shallow tubewell,Ground Water,Aganw adis Center Arsi North Code- 64,HandPump,Aganw adis(0004977728),
30,PARARIA,ARSI,Shallow tubewell,Ground Water,Aganw adis Center Arsi North Code- 64,HandPump,Angaw adis(0004947595),
31,PARARIA,ARSI,Shallow tubewell,Ground Water,"NEAR MOHAN SINGH, S/O LATE PRATAP SINGH",HandPump,HP-IRP(0003649461),
32,PARARIA,ARSI,Shallow tubewell,Ground Water,Near,HandPump,NC/PC(0001986243),
33,PARARIA,HARIJAN TOLA,Shallow tubewell,Ground Water,Near,HandPump,NC/PC(0001986240),
34,PARARIA,MAHONIA,Shallow tubewell,Ground Water,Near,HandPump,NC/PC(0001986246),
35,PARARIA,MAHONIA RAM TOLA,Deep tubewell,Ground Water,In Tola,HandPump,HP IRP(0006532155),
36,PARARIA,MAHONIA RAM TOLA,Shallow tubewell,Ground Water,Near,HandPump,HP-IRP(0003763551),
37,PARARIA,MAHONIA RAM TOLA,Deep tubewell,Ground Water,Near,HandPump,Sonbarsa QA Hab. Scheme(0004112798),
38,PARARIA,MANJANUN,Shallow tubewell,Ground Water,Near,HandPump,NC/PC(0001986255),
39,PARARIA,MANJANUN MUSHAHARI,Deep tubewell,Ground Water,In Tola,HandPump,HP IRP(0006532164),
40,PARARIA,MANJANUN MUSHAHARI,Deep tubewell,Ground Water,Near,HandPump,Sonbarsa QA Hab. Scheme(0004112798),
41,PARARIA,PARARIYA HARIJAN TOLA,Deep tubewell,Ground Water,In Tola,HandPump,HP IRP(0006532176),
42,PARARIA,PARARIYA HARIJAN TOLA,Shallow tubewell,Ground Water,Near,HandPump,HP-IRP(0003763586),
43,PARARIA,PARARIYA HARIJAN TOLA,Deep tubewell,Ground Water,Near,HandPump,Sonbarsa QA Hab. Scheme(0004112798),
44,PARARIA,PARARIYA PASWAN TOLA,Deep tubewell,Ground Water,In Tola,HandPump,HP IRP(0006532186),
45,PARARIA,PARARIYA PASWAN TOLA,Shallow tubewell,Ground Water,Near,HandPump,HP-IRP(0003763610),
46,PARARIA,PARARIYA PASWAN TOLA,Deep tubewell,Ground Water,Near,HandPump,Near Alok Pasw an(0001332465),
47,PARARIA,PARARIYA PASWAN TOLA,Deep tubewell,Ground Water,Near,HandPump,Sonbarsa QA Hab. Scheme(0004112798),
48,PARARIA,PARIRYA,Shallow tubewell,Ground Water,Aganw adis Center Parriya South Code- 68,HandPump,Aganw adis(0004977735),
49,PARARIA,PARIRYA,Shallow tubewell,Ground Water,Aganw adis Center Parriya South Code- 68,HandPump,Angaw adis(0004947601),
50,PARARIA,PARIRYA,Shallow tubewell,Ground Water,"NEAR RAMESH SINGH , BAUAA, S/O PARMANAND SINGH",HandPump,HP-IRP(0003649506),
51,PARARIA,PARIRYA,Shallow tubewell,Ground Water,NEAR VILLAGE ROAD,HandPump,NC/PC(0001986256),
52,PARARIA,PARIRYA,Deep tubewell,Ground Water,NEAR ROAD,HandPump,Near Md. Najak(0001332461),
53,PARARIA,RAM TOLA,Deep tubewell,Ground Water,In Tola,HandPump,HP IRP(0006532192),
54,PARARIA,RAM TOLA,Deep tubewell,Ground Water,Near,HandPump,Sonbarsa QA Hab. Scheme(0004112798),
