Sno.,Village Name,Habitation Name,Source Type,Source Type Category Lo ation r,Location,Type,Scheme Name
32,KHAIRI BANKA,KHAIRI BAKA,Shallow tubewell,Ground Water,P.S. RAJWAN,HandPump,SCHOOL T/W- BISFI(0006557172)
33,KHAIRI BANKA,KHAIRI BAKA,Shallow tubewell,Ground Water,N.P.S Mithilanagar,HandPump,SCHOOL T/W-BISFI- 1(0006252902)
34,KHAIRI BANKA,KHAIRI BAKA,Shallow tubewell,Ground Water,N.P.S Khairibanka,HandPump,SCHOOL T/W-BISFI- 1(0006252902)
35,KHAIRI BANKA,KHAIRI BAKA,Shallow tubewell,Ground Water,N.P.S Islampur,HandPump,SCHOOL T/W-BISFI- 1(0006252902)
36,KHAIRI BANKA,KHAIRI BAKA,Shallow tubewell,Ground Water,N.P.S.KHAIRIBANKA SOUTH,HandPump,SCHOOL T/W-BISFI- 1(0006252902)
37,KHAIRI BANKA,KHAIRI BAKA,Shallow tubewell,Ground Water,M.S.DULHA,HandPump,SCHOOL T/W-BISFI- 1(0006252902)
38,KHAIRI BANKA,KHAIRI BAKA,Shallow tubewell,Ground Water,P.MAK.BANKA BOYS,HandPump,SCHOOL T/W-BISFI- 1(0006252902)
39,KHAIRI BANKA,KHAIRI BAKA,Shallow tubewell,Ground Water,P.S. MADHIYA,HandPump,SCHOOL T/W-BISFI- 2(0006253289)
40,KHAIRI BANKA,KHAIRI BAKA,Shallow tubewell,Ground Water,P.S. KHAIRIBANKA,HandPump,SCHOOL T/W-BISFI- 2(0006253289)
41,KHAIRI BANKA,KHAIRI BAKA,Shallow tubewell,Ground Water,P.S. HASANPUR,HandPump,SCHOOL T/W-BISFI- 2(0006253289)
42,KHAIRI BANKA,KHAIRI BAKA,Shallow tubewell,Ground Water,P.S. DULHA GIRL,HandPump,SCHOOL T/W-BISFI- 2(0006253289)
43,KHAIRI BANKA,KHAIRI BAKA,Shallow tubewell,Ground Water,P.MAK.BHAGAUI,HandPump,SCHOOL T/W-BISFI- 2(0006253289)
44,KHAIRI BANKA,KHAIRI BAKA,Shallow tubewell,Ground Water,U.M.MAK.BANKA GIRL,HandPump,SCHOOL T/W-BISFI- 2(0006253289)
45,KHAIRI BANKA,KHAIRI BAKA,Shallow tubewell,Ground Water,U.M.S.BAKHURI,HandPump,SCHOOL T/W-BISFI- 2(0006253289)
46,KHAIRI BANKA,KHAIRI BAKA,Shallow tubewell,Ground Water,P.S.DULHA NAVTOL,HandPump,SCHOOL T/W-BISFI- 2(0006253289)
47,KHAIRI BANKA,KHAIRI BAKA,Shallow tubewell,Ground Water,P.S. RAJWAN,HandPump,SCHOOL T/W-BISFI- 2(0006253289)
48,KHAIRI BANKA,KHAIRI BAKA,Shallow tubewell,Ground Water,P.S. PUARI,HandPump,SCHOOL T/W-BISFI- 2(0006253289)
49,KHAIRI BANKA,KHAIRI BAKA,Deep tubewell,Ground Water,Non Mandatory,HandPump,Spot Source(0001966868)
50,KHAIRI BANKA,KHAIRI BAKA,Deep tubewell,Ground Water,Non Mandatory,HandPump,Spot Source(0002671463)
51,KHAIRI BANKA,KHAIRI BAKA,Deep tubewell,Ground Water,P.S. KHAIRIBANKA,HandPump,SPOT SOURCES(0002718380)
52,KHAIRI BANKA,KHAIRI BAKA,Deep tubewell,Ground Water,P.S. HASNAPUR,HandPump,SPOT SOURCES(0002718407)
53,KHAIRI BANKA,KHAIRI BAKA,Deep tubewell,Ground Water,P.MAK.BHAGAUI,HandPump,SPOT SOURCES(0002718547)
54,KHAIRI BANKA,KHAIRI BAKA,Deep tubewell,Ground Water,P.MAK. CHAPARIYA KAZITOL,HandPump,SPOT SOURCES(0002718549)
55,KHAIRI BANKA,KHAIRI BAKA,Deep tubewell,Ground Water,P.MAK.BANKA BOYS,HandPump,SPOT SOURCES(0002718551)
56,KHAIRI BANKA,KHAIRI BAKA,Deep tubewell,Ground Water,P.S. KHANGRAITHA CHARWAHA,HandPump,SPOT SOURCES(0002718652)
57,KHAIRI BANKA,KHAIRI BAKA,Deep tubewell,Ground Water,P.S. MADHIYA,HandPump,SPOT SOURCES(0002718655)
58,KHAIRI BANKA,KHAIRI BAKA,Deep tubewell,Ground Water,P.MAK. CHAPARIYA KAZITOL,HandPump,SPOT SOURCES(0002718659)
59,KHAIRI BANKA,KHAIRI BAKA,Deep tubewell,Ground Water,M.S.DULHA,HandPump,SPOT SOURCES(0002718704)
60,KHAIRI BANKA,KHAIRI BAKA,Deep tubewell,Ground Water,U.M.MAK.BANKA GIRL,HandPump,SPOT SOURCES(0002718888)
61,KHAIRI BANKA,KHAIRI BAKA,Deep tubewell,Ground Water,P.S. RAJWAN,HandPump,SPOT SOURCES(0002718892)
62,KHAIRI BANKA,KHAIRI BAKA,Deep tubewell,Ground Water,P.S. PUARI,HandPump,SPOT SOURCES(0002718897)
63,KHAIRI BANKA,KHAIRI BAKA,Deep tubewell,Ground Water,U.M.S.BAKHURI,HandPump,SPOT SOURCES(0002718898)
64,KHAIRI BANKA,KHAIRI BAKA,Deep tubewell,Ground Water,N.P.S.KHAIRIBANKA SOUTH,HandPump,SPOT SOURCES(0002718902)
65,KHAIRI BANKA,KHAIRI BAKA,Deep tubewell,Ground Water,M.S.DULHA,HandPump,SPOT SOURCES(0002718904)
66,KHAIRI BANKA,KHAIRI BAKA,Deep tubewell,Ground Water,P.S. MADHIYA,HandPump,SPOT SOURCES(0002718907)
67,KHAIRI BANKA,KHAIRI BAKA,Deep tubewell,Ground Water,P.S. KHANGRAITHA CHARWAHA,HandPump,SPOT SOURCES(0002718946)
68,KHAIRI BANKA,KHAIRI BAKA,Deep tubewell,Ground Water,U.M.S.BAKHURI,HandPump,SPOT SOURCES(0002719000)
69,KHAIRI BANKA,KHAIRI BAKA,Deep tubewell,Ground Water,N.P.S.KHAIRIBANKA SOUTH,HandPump,SPOT SOURCES(0002719006)
70,KHAIRI BANKA,KHAIRI BAKA,Deep tubewell,Ground Water,P.MAK. CHAPARIYA KAZITOL,HandPump,SPOT SOURCES(0002719016)
71,KHAIRI BANKA,KHAIRI BAKA,Deep tubewell,Ground Water,P.MAK.BANKA BOYS,HandPump,SPOT SOURCES(0002719021)
72,KHAIRI BANKA,KHAIRI BAKA,Deep tubewell,Ground Water,P.MAK.BHAGAUI,HandPump,SPOT SOURCES(0002719027)
73,KHAIRI BANKA,KHAIRI BAKA,Deep tubewell,Ground Water,P.S. HASANPUR,HandPump,SPOT SOURCES(0002721590)
74,KHAIRI BANKA,KHAIRI BAKA,Deep tubewell,Ground Water,P.S. DULHA GIRL,HandPump,SPOT SOURCES(0002721603)
75,KHAIRI BANKA,KHAIRI BAKA,Deep tubewell,Ground Water,P.S.DULHA NAVTOL,HandPump,SPOT SOURCES(0002721793)
76,KHAIRI BANKA,KHAIRI BAKA,Shallow tubewell,Ground Water,Mahavir Yadav,HandPump,SUHTAIPMABLE NEW IN PLACE OF OLD BISFI(0005820169)
77,KHAIRI BANKA,KHAIRI BAKA,Shallow tubewell,Ground Water,Jata Jha,HandPump,SUHTAIPMABLE NEW IN PLACE OF OLD BISFI(0005820169)
78,KHAIRI BANKA,KHAIRI BAKA,Shallow tubewell,Ground Water,Saini Pasw an,HandPump,SUHTAIPMABLE NEW IN PLACE OF OLD BISFI(0005820169)
79,KHAIRI BANKA,KHOKHNAHI,Shallow tubewell,Ground Water,Chow k Par,HandPump,Binod Mandal(0000657855)
80,KHAIRI BANKA,KHOKHNAHI,Deep tubewell,Ground Water,Road Side Me,HandPump,Hand Pump Scheme(0004690566)
81,KHAIRI BANKA,KHOKHNAHI,Shallow tubewell,Ground Water,N.P.S Khokhnahi,HandPump,SCHOOL T/W-BISFI- 1(0006252902)
